DAM_ID,Project name,Continent,Country,Main_river,Major Basin,Capacity (MW),LAT_cleaned,Lon_Cleaned,Stage,Start,End,Reference 1,Reference 2,Reference 3
0,Susitna-Watana,North America,United States,Susitna,Pacific and Arctic Coast 1,600,62.786772,-148.02578,P,2012,2023,http://www.hydroreform.org/projects/susitna-watana-p-14241,,
1,Site C,North America,Canada,Peace,Mackenzie,900,56.225245,-120.950245,P,2014,2020,http://en.wikipedia.org/wiki/Site_C_dam,https://www.sitecproject.com/sites/default/files/site_c_project_description.pdf,
2,Gull Island,North America,Canada,Churchill,Churchill,2250,53.03287948,-61.21295386,U,,2028,http://en.wikipedia.org/wiki/Lower_Churchill_Project /,http://www.nalcorenergy.com/lower-churchill-project.asp,
3,Muskrat,North America,Canada,Churchill,Churchill,824,53.24462517,-60.77379183,U,,2017,http://en.wikipedia.org/wiki/Lower_Churchill_Project,http://www.nalcorenergy.com/lower-churchill-project.asp,
4,Conawapa,North America,Canada,Nelson,Saskatchewan - Nelson,1485,56.53541667,-94.029465,P,,2022,http://www.energymanitoba.org/hp_conawapa.htm,,
5,Courbe Du Sault (Sheldrake),North America,Canada,Churchill,St Lawrence,25,50.29791667,-64.765503,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
6,Franquelin,North America,Canada,Manicouagan,St Lawrence,9.9,49.299293,-67.96041667,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
7,Chute Du Quatre Milles,North America,Canada,Manicouagan,St Lawrence,5.5,48.7314385,-69.1689385,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
8,Chutes Du Six Milles,North America,Canada,Manicouagan,St Lawrence,13.2,48.750756,-69.19791667,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
9,Pont-Arnaud,North America,Canada,Saguenay,St Lawrence,8,48.45208333,-71.164703,P,,,"Lee, P. G., Matt Hanneman and Ryan Cheng (2011) /",http://www.hydroquebec.com/4d_includes/depdoc/cpe/fr/Carte_Soumissions_retenues.pdf,
